,BVD,Name,SIC,Industry,OM
180,IN0007688579,MY HOME INFRASTRUCTURES PRIVATE LIMITED,1629.0,Construction,1.164415496718834
18,IN0000310385,NUVAMA CLEARING SERVICES LIMITED,5199.0,Wholesale Trade,0.8483506014412079
19,IN0000317055,KOTAK INFRASTRUCTURE DEBT FUND LIMITED,6141.0,"Finance, Insurance, and Real Estate",0.8254016566432346
286,IN0013510803,NRSS XXIX TRANSMISSION LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.81921666213162
228,IN0010553011,VIZAG TRANSMISSION LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.7306844212195523
211,IN0009617719,UNIQUE FARMESTATE PRIVATE LIMITED,1629.0,Construction,0.7179368937287512
261,IN0012403293,POWERGRID WARORA TRANSMISSION LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.7045173612098757
220,IN0010228564,ASTHA CREDIT AND SECURITIES PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.6710814535125832
10,IN0000244706,GUJARAT CHEMICAL PORT LIMITED,2999.0,Manufacturing,0.6616641300537948
3,IN0000217045,NATIONAL STOCK EXCHANGE OF INDIA LTD,6111.0,"Finance, Insurance, and Real Estate",0.635196936079236
237,IN0011008936,SHRI RAM FINANCE CORPORATION PRIVATE LIMITED,6021.0,"Finance, Insurance, and Real Estate",0.5931985204937098
125,IN0005006679,WESTERN U. P. POWER TRANSMISSION COMPANY LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5925847234842035
263,IN0012481915,VARDHAMANGLOBAL SHARECOM PRIVATE LIMITED,6111.0,"Finance, Insurance, and Real Estate",0.5878120210987962
248,IN0011652772,SBI-SG GLOBAL SECURITIES SERVICES PRIVATE LIMITED,7389.0,Services,0.5800251571481181
327,IN0016402638,INFINITY FINCORP SOLUTIONS PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.5798937314745501
154,IN0006402471,SVASTI MICROFINANCE PRIVATE LIMITED,6141.0,"Finance, Insurance, and Real Estate",0.5627768327129207
114,IN0003944776,IVRCL CHENGAPALLI TOLLWAYS LIMITED,1611.0,Construction,0.5626494897653039
414,IN36214FI,ARVIND SMARTSPACES LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.5585778116941835
132,IN0005336888,VIKAS TELECOM PRIVATE LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5517657035484705
117,IN0004562609,KETI SANGAM INFRASTRUCTURE (INDIA) LIMITED,1611.0,Construction,0.5415365435429714
208,IN0009595303,CANDOR GURGAON ONE REALTY PROJECTS PRIVATE LIMITED,1521.0,Construction,0.5340828396487397
310,IN0015257248,NATIONAL INVESTMENT AND INFRASTRUCTURE FUND LIMITED,7389.0,Services,0.5337442927479755
156,IN0006471715,UP MONEY LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.5267490014830645
307,IN0015212893,CFM ASSET RECONSTRUCTION PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.5257249331409269
294,IN0014361151,RENEW SAUR URJA PRIVATE LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5225102001840987
121,IN0004907797,YOGAKSHEMAM LOANS LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.5161879971801596
